Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:378146
Palabra:<UNK> Frec:239412 LogProb:-0.5724391862036811
Palabra:able Frec:143 LogProb:-7.98857125968209
Palabra:about Frec:1252 LogProb:-5.825088604362023
Palabra:above Frec:26 LogProb:-9.662547693253762
Palabra:according Frec:71 LogProb:-8.681718440242037
Palabra:across Frec:214 LogProb:-7.587746531130429
Palabra:actually Frec:114 LogProb:-8.21345243089484
Palabra:after Frec:700 LogProb:-6.405876672223501
Palabra:again Frec:146 LogProb:-7.967951972479355
Palabra:against Frec:234 LogProb:-7.498799045113932
Palabra:ain't Frec:5 LogProb:-11.166625090030037
Palabra:all Frec:1793 LogProb:-5.46618151663935
Palabra:allow Frec:49 LogProb:-9.046361553829945
Palabra:allows Frec:7 LogProb:-10.878943017578255
Palabra:almost Frec:121 LogProb:-8.154363514524835
Palabra:alone Frec:71 LogProb:-8.681718440242037
Palabra:along Frec:58 LogProb:-8.88084711535237
Palabra:already Frec:214 LogProb:-7.587746531130429
Palabra:also Frec:390 LogProb:-6.989676999272725
Palabra:although Frec:20 LogProb:-9.913862121534669
Palabra:always Frec:93 LogProb:-8.415089776988086
Palabra:among Frec:69 LogProb:-8.70988931720873
Palabra:amongst Frec:15 LogProb:-10.18579583701831
Palabra:and Frec:9360 LogProb:-3.814077157886347
Palabra:another Frec:197 LogProb:-7.670117528563556
Palabra:any Frec:450 LogProb:-6.8469172197554125
Palabra:anybody Frec:14 LogProb:-10.25033435815588
Palabra:anyone Frec:203 LogProb:-7.640264565413875
Palabra:anything Frec:114 LogProb:-8.21345243089484
Palabra:anyway Frec:31 LogProb:-9.492648656458364
Palabra:anywhere Frec:39 LogProb:-9.269505105144155
Palabra:apart Frec:45 LogProb:-9.129743162768996
Palabra:appear Frec:19 LogProb:-9.9626522857041
Palabra:appreciate Frec:12 LogProb:-10.393435201796555
Palabra:appropriate Frec:11 LogProb:-10.473477909470091
Palabra:are Frec:4824 LogProb:-4.4768185454850045
Palabra:aren't Frec:40 LogProb:-9.244812492553784
Palabra:around Frec:322 LogProb:-7.180732236035435
Palabra:aside Frec:15 LogProb:-10.18579583701831
Palabra:ask Frec:81 LogProb:-8.551665311993837
Palabra:asking Frec:79 LogProb:-8.57635792458421
Palabra:associated Frec:13 LogProb:-10.319327229642832
Palabra:available Frec:175 LogProb:-7.78790056421994
Palabra:away Frec:162 LogProb:-7.864634358451329
Palabra:became Frec:7 LogProb:-10.878943017578255
Palabra:because Frec:739 LogProb:-6.351734373059876
Palabra:become Frec:91 LogProb:-8.43659598220905
Palabra:becomes Frec:26 LogProb:-9.662547693253762
Palabra:becoming Frec:32 LogProb:-9.461876997791611
Palabra:been Frec:802 LogProb:-6.2700298453113295
Palabra:before Frec:326 LogProb:-7.168424388360838
Palabra:behind Frec:65 LogProb:-8.768729817231666
Palabra:being Frec:655 LogProb:-6.472223770314002
Palabra:believe Frec:90 LogProb:-8.447525052741241
Palabra:below Frec:95 LogProb:-8.394036367790255
Palabra:besides Frec:15 LogProb:-10.18579583701831
Palabra:best Frec:29 LogProb:-9.557187177595935
Palabra:better Frec:88 LogProb:-8.469748189525951
Palabra:between Frec:115 LogProb:-8.204794368151727
Palabra:beyond Frec:47 LogProb:-9.0871835483502
Palabra:both Frec:89 LogProb:-8.458574888927826
Palabra:but Frec:1521 LogProb:-5.63060402083646
Palabra:came Frec:68 LogProb:-8.724278054660832
Palabra:can Frec:1259 LogProb:-5.819517559312567
Palabra:can't Frec:215 LogProb:-7.583106151573926
Palabra:cannot Frec:119 LogProb:-8.170892816476044
Palabra:cant Frec:43 LogProb:-9.17419492533983
Palabra:cause Frec:120 LogProb:-8.16259401366135
Palabra:causes Frec:46 LogProb:-9.108236957548034
Palabra:certain Frec:34 LogProb:-9.403036497768678
Palabra:certainly Frec:19 LogProb:-9.9626522857041
Palabra:changes Frec:74 LogProb:-8.640896445721781
Palabra:clearly Frec:19 LogProb:-9.9626522857041
Palabra:come Frec:199 LogProb:-7.660067192710055
Palabra:comes Frec:63 LogProb:-8.79950147589842
Palabra:consider Frec:61 LogProb:-8.831250174213
Palabra:considering Frec:29 LogProb:-9.557187177595935
Palabra:contain Frec:25 LogProb:-9.70028802123661
Palabra:containing Frec:6 LogProb:-11.012474410202778
Palabra:could Frec:501 LogProb:-6.739784439566362
