Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:448794
Palabra:<UNK> Frec:278495 LogProb:-0.5752106300183772
Palabra:able Frec:213 LogProb:-7.7463935905857655
Palabra:about Frec:1213 LogProb:-6.010693633988173
Palabra:above Frec:43 LogProb:-9.328179971689355
Palabra:according Frec:82 LogProb:-8.693528997811018
Palabra:across Frec:238 LogProb:-7.635906053676106
Palabra:actually Frec:103 LogProb:-8.467978706466244
Palabra:after Frec:598 LogProb:-6.717108007492167
Palabra:afterwards Frec:6 LogProb:-11.166459456552303
Palabra:again Frec:164 LogProb:-8.006424131707035
Palabra:against Frec:253 LogProb:-7.57503533858908
Palabra:ain't Frec:10 LogProb:-10.714474332809246
Palabra:all Frec:2434 LogProb:-5.3146675700909265
Palabra:allow Frec:120 LogProb:-8.316579060010875
Palabra:allows Frec:19 LogProb:-10.116637332053626
Palabra:almost Frec:96 LogProb:-8.537658627104234
Palabra:alone Frec:30 LogProb:-9.67838240112247
Palabra:along Frec:61 LogProb:-8.985235220562526
Palabra:already Frec:200 LogProb:-7.809064697548541
Palabra:also Frec:562 LogProb:-6.779089977467926
Palabra:although Frec:30 LogProb:-9.67838240112247
Palabra:always Frec:165 LogProb:-8.000381817251073
Palabra:among Frec:57 LogProb:-9.051926595061197
Palabra:amongst Frec:8 LogProb:-10.915145028271397
Palabra:and Frec:11693 LogProb:-3.7455384368720015
Palabra:another Frec:163 LogProb:-8.012503177783419
Palabra:any Frec:498 LogProb:-6.899763509856098
Palabra:anybody Frec:15 LogProb:-10.339780883367835
Palabra:anyone Frec:263 LogProb:-7.536420502461301
Palabra:anything Frec:126 LogProb:-8.268182519149025
Palabra:anyway Frec:25 LogProb:-9.854273067586135
Palabra:anyways Frec:6 LogProb:-11.166459456552303
Palabra:anywhere Frec:38 LogProb:-9.448807959477971
Palabra:apart Frec:77 LogProb:-8.755660778918024
Palabra:appear Frec:11 LogProb:-10.627462955819617
Palabra:appreciate Frec:106 LogProb:-8.439540771145712
Palabra:appropriate Frec:12 LogProb:-10.54742024814608
Palabra:are Frec:5221 LogProb:-4.551733856348543
Palabra:aren't Frec:56 LogProb:-9.069318337773066
Palabra:around Frec:291 LogProb:-7.435615803339335
Palabra:aside Frec:23 LogProb:-9.934315775259671
Palabra:ask Frec:120 LogProb:-8.316579060010875
Palabra:asking Frec:89 LogProb:-8.612559935277352
Palabra:associated Frec:7 LogProb:-11.03292806392778
Palabra:available Frec:334 LogProb:-7.29823907378255
Palabra:away Frec:183 LogProb:-7.897433847998631
Palabra:became Frec:26 LogProb:-9.816532739603288
Palabra:because Frec:575 LogProb:-6.756261944911725
Palabra:become Frec:100 LogProb:-8.497249088766356
Palabra:becomes Frec:20 LogProb:-10.067847167884194
Palabra:becoming Frec:24 LogProb:-9.893493780739416
Palabra:been Frec:769 LogProb:-6.4659790907598875
Palabra:before Frec:382 LogProb:-7.164334616426971
Palabra:behind Frec:74 LogProb:-8.794881492071307
Palabra:being Frec:512 LogProb:-6.872093760436847
Palabra:believe Frec:67 LogProb:-8.892861900431509
Palabra:below Frec:116 LogProb:-8.35019567080986
Palabra:besides Frec:15 LogProb:-10.339780883367835
Palabra:best Frec:443 LogProb:-7.016545043175392
Palabra:better Frec:341 LogProb:-7.277558868545012
Palabra:between Frec:114 LogProb:-8.367437477244366
Palabra:beyond Frec:48 LogProb:-9.22054930749699
Palabra:both Frec:102 LogProb:-8.47764061737798
Palabra:brief Frec:6 LogProb:-11.166459456552303
Palabra:but Frec:1619 LogProb:-5.722188177381187
Palabra:came Frec:82 LogProb:-8.693528997811018
Palabra:can Frec:2010 LogProb:-5.5059822158349645
Palabra:can't Frec:198 LogProb:-7.819064780883124
Palabra:cannot Frec:92 LogProb:-8.57977011245436
Palabra:cant Frec:34 LogProb:-9.557021544118204
Palabra:cause Frec:65 LogProb:-8.922714863581191
Palabra:causes Frec:16 LogProb:-10.2791562615514
Palabra:certain Frec:93 LogProb:-8.569074823337612
Palabra:certainly Frec:22 LogProb:-9.976875389678467
Palabra:changes Frec:140 LogProb:-8.163609715229448
Palabra:clearly Frec:46 LogProb:-9.26222200389756
Palabra:com Frec:17 LogProb:-10.221997847711453
Palabra:come Frec:249 LogProb:-7.590908687745371
Palabra:comes Frec:84 LogProb:-8.6697183491173
Palabra:concerning Frec:7 LogProb:-11.03292806392778
Palabra:consider Frec:115 LogProb:-8.358779414501253
Palabra:considering Frec:33 LogProb:-9.586009080991456
Palabra:contain Frec:30 LogProb:-9.67838240112247
Palabra:containing Frec:13 LogProb:-10.473312275992358
Palabra:contains Frec:14 LogProb:-10.404319404505406
Palabra:could Frec:426 LogProb:-7.055585592378992
Palabra:couldn't Frec:35 LogProb:-9.528850667151506
Palabra:course Frec:59 LogProb:-9.018025043385517
Palabra:currently Frec:117 LogProb:-8.341684981141952
Palabra:definitely Frec:63 LogProb:-8.953486522247946
Palabra:described Frec:6 LogProb:-11.166459456552303
Palabra:despite Frec:116 LogProb:-8.35019567080986
Palabra:did Frec:230 LogProb:-7.669951895085823
Palabra:didn't Frec:58 LogProb:-9.034832161701896
Palabra:different Frec:88 LogProb:-8.623733235875477
Palabra:does Frec:185 LogProb:-7.886622931894415
Palabra:doesn't Frec:67 LogProb:-8.892861900431509
Palabra:doing Frec:482 LogProb:-6.932352951955044
Palabra:don't Frec:393 LogProb:-7.136018696309683
Palabra:done Frec:195 LogProb:-7.8342549463771
