Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:<UNK> Frec:4979 LogProb:-3.880648378868207
Palabra:abide Frec:4 LogProb:-10.784395636452805
Palabra:abiding Frec:2 LogProb:-11.295221260218796
Palabra:abilities Frec:2 LogProb:-11.295221260218796
Palabra:ability Frec:34 LogProb:-8.838485487397492
Palabra:abnormal Frec:4 LogProb:-10.784395636452805
Palabra:abroad Frec:5 LogProb:-10.60207407965885
Palabra:abrupt Frec:2 LogProb:-11.295221260218796
Palabra:absence Frec:3 LogProb:-11.007539187767014
Palabra:absolute Frec:24 LogProb:-9.174957724018704
Palabra:absolutely Frec:41 LogProb:-8.656163930603537
Palabra:absorbent Frec:2 LogProb:-11.295221260218796
Palabra:absurd Frec:4 LogProb:-10.784395636452805
Palabra:abundance Frec:4 LogProb:-10.784395636452805
Palabra:abundant Frec:5 LogProb:-10.60207407965885
Palabra:abuse Frec:8 LogProb:-10.196608971550685
Palabra:abused Frec:6 LogProb:-10.447923399831591
Palabra:academic Frec:6 LogProb:-10.447923399831591
Palabra:academics Frec:2 LogProb:-11.295221260218796
Palabra:academy Frec:5 LogProb:-10.60207407965885
Palabra:accelerate Frec:17 LogProb:-9.503461790990741
Palabra:accelerated Frec:3 LogProb:-11.007539187767014
Palabra:accelerates Frec:2 LogProb:-11.295221260218796
Palabra:accelerating Frec:7 LogProb:-10.314392007207069
Palabra:accept Frec:29 LogProb:-8.992636167224749
Palabra:acceptable Frec:12 LogProb:-9.828884191425368
Palabra:acceptance Frec:8 LogProb:-10.196608971550685
Palabra:accepted Frec:6 LogProb:-10.447923399831591
Palabra:accepting Frec:21 LogProb:-9.302791095528589
Palabra:access Frec:173 LogProb:-7.234778249672376
Palabra:accessed Frec:3 LogProb:-11.007539187767014
Palabra:accessible Frec:12 LogProb:-9.828884191425368
Palabra:accessing Frec:8 LogProb:-10.196608971550685
Palabra:accessories Frec:8 LogProb:-10.196608971550685
Palabra:accident Frec:2 LogProb:-11.295221260218796
Palabra:accidental Frec:2 LogProb:-11.295221260218796
Palabra:accommodate Frec:7 LogProb:-10.314392007207069
Palabra:accommodation Frec:3 LogProb:-11.007539187767014
Palabra:accommodations Frec:3 LogProb:-11.007539187767014
Palabra:accompanied Frec:2 LogProb:-11.295221260218796
Palabra:accompany Frec:2 LogProb:-11.295221260218796
Palabra:accomplished Frec:4 LogProb:-10.784395636452805
Palabra:account Frec:48 LogProb:-8.502013250776278
Palabra:accountability Frec:5 LogProb:-10.60207407965885
Palabra:accounting Frec:2 LogProb:-11.295221260218796
Palabra:accounts Frec:20 LogProb:-9.349311111163482
Palabra:accuracy Frec:4 LogProb:-10.784395636452805
Palabra:accurate Frec:10 LogProb:-9.995938276088534
Palabra:accurately Frec:2 LogProb:-11.295221260218796
Palabra:achieve Frec:11 LogProb:-9.908926899098905
Palabra:acid Frec:2 LogProb:-11.295221260218796
Palabra:acknowledge Frec:4 LogProb:-10.784395636452805
Palabra:acknowledging Frec:2 LogProb:-11.295221260218796
Palabra:acquire Frec:3 LogProb:-11.007539187767014
Palabra:acquired Frec:8 LogProb:-10.196608971550685
Palabra:acquiring Frec:4 LogProb:-10.784395636452805
Palabra:acquisition Frec:3 LogProb:-11.007539187767014
Palabra:act Frec:98 LogProb:-7.798713698752315
Palabra:acted Frec:4 LogProb:-10.784395636452805
Palabra:acting Frec:21 LogProb:-9.302791095528589
Palabra:action Frec:99 LogProb:-7.788663362898813
Palabra:actionable Frec:2 LogProb:-11.295221260218796
Palabra:actions Frec:27 LogProb:-9.0616290387117
Palabra:activated Frec:5 LogProb:-10.60207407965885
Palabra:activating Frec:2 LogProb:-11.295221260218796
Palabra:active Frec:28 LogProb:-9.02653771890043
Palabra:actively Frec:17 LogProb:-9.503461790990741
Palabra:activists Frec:3 LogProb:-11.007539187767014
Palabra:activities Frec:22 LogProb:-9.258339332957755
Palabra:activity Frec:45 LogProb:-8.56519215239781
Palabra:actor Frec:3 LogProb:-11.007539187767014
Palabra:actors Frec:19 LogProb:-9.398101275332914
Palabra:actress Frec:7 LogProb:-10.314392007207069
Palabra:acts Frec:14 LogProb:-9.685783347784694
Palabra:actual Frec:22 LogProb:-9.258339332957755
Palabra:adapt Frec:33 LogProb:-8.867473024270744
Palabra:adaptable Frec:2 LogProb:-11.295221260218796
Palabra:adaptation Frec:5 LogProb:-10.60207407965885
Palabra:adapted Frec:2 LogProb:-11.295221260218796
Palabra:adapting Frec:17 LogProb:-9.503461790990741
Palabra:adaptive Frec:2 LogProb:-11.295221260218796
Palabra:adapts Frec:2 LogProb:-11.295221260218796
Palabra:add Frec:62 LogProb:-8.250698822495373
Palabra:added Frec:37 LogProb:-8.756247389160519
Palabra:addiction Frec:6 LogProb:-10.447923399831591
Palabra:adding Frec:26 LogProb:-9.097996682882576
Palabra:addition Frec:24 LogProb:-9.174957724018704
Palabra:additional Frec:46 LogProb:-8.543685947176847
Palabra:additionally Frec:4 LogProb:-10.784395636452805
Palabra:additive Frec:4 LogProb:-10.784395636452805
Palabra:address Frec:41 LogProb:-8.656163930603537
Palabra:addressed Frec:4 LogProb:-10.784395636452805
Palabra:addresses Frec:4 LogProb:-10.784395636452805
Palabra:addressing Frec:10 LogProb:-9.995938276088534
Palabra:adds Frec:4 LogProb:-10.784395636452805
Palabra:adequate Frec:25 LogProb:-9.135737010865423
Palabra:adequately Frec:4 LogProb:-10.784395636452805
Palabra:adhere Frec:8 LogProb:-10.196608971550685
Palabra:adhered Frec:3 LogProb:-11.007539187767014
Palabra:adhering Frec:9 LogProb:-10.09124845589286
Palabra:adjust Frec:16 LogProb:-9.560620204830688
Palabra:adjusted Frec:12 LogProb:-9.828884191425368
Palabra:adjusting Frec:22 LogProb:-9.258339332957755
Palabra:adjustments Frec:3 LogProb:-11.007539187767014
Palabra:adjusts Frec:4 LogProb:-10.784395636452805
Palabra:admin Frec:9 LogProb:-10.09124845589286
Palabra:administered Frec:3 LogProb:-11.007539187767014
Palabra:administration Frec:28 LogProb:-9.02653771890043
Palabra:administrative Frec:3 LogProb:-11.007539187767014
Palabra:admins Frec:2 LogProb:-11.295221260218796
Palabra:admirable Frec:4 LogProb:-10.784395636452805
Palabra:admiration Frec:4 LogProb:-10.784395636452805
Palabra:admire Frec:3 LogProb:-11.007539187767014
Palabra:admit Frec:9 LogProb:-10.09124845589286
Palabra:admitted Frec:3 LogProb:-11.007539187767014
Palabra:adobe Frec:2 LogProb:-11.295221260218796
Palabra:adopt Frec:4 LogProb:-10.784395636452805
Palabra:adopted Frec:7 LogProb:-10.314392007207069
Palabra:adoption Frec:4 LogProb:-10.784395636452805
Palabra:adoptions Frec:2 LogProb:-11.295221260218796
Palabra:adopts Frec:2 LogProb:-11.295221260218796
Palabra:adorable Frec:2 LogProb:-11.295221260218796
Palabra:ads Frec:17 LogProb:-9.503461790990741
Palabra:adult Frec:9 LogProb:-10.09124845589286
Palabra:adulterated Frec:2 LogProb:-11.295221260218796
Palabra:adults Frec:25 LogProb:-9.135737010865423
Palabra:advance Frec:10 LogProb:-9.995938276088534
Palabra:advanced Frec:12 LogProb:-9.828884191425368
Palabra:advantage Frec:131 LogProb:-7.511031626300534
Palabra:advantages Frec:5 LogProb:-10.60207407965885
Palabra:advent Frec:2 LogProb:-11.295221260218796
Palabra:adventure Frec:11 LogProb:-9.908926899098905
Palabra:adventures Frec:5 LogProb:-10.60207407965885
Palabra:adverse Frec:2 LogProb:-11.295221260218796
Palabra:adversity Frec:8 LogProb:-10.196608971550685
Palabra:advertise Frec:4 LogProb:-10.784395636452805
Palabra:advertisement Frec:2 LogProb:-11.295221260218796
Palabra:advertisers Frec:4 LogProb:-10.784395636452805
Palabra:advertising Frec:23 LogProb:-9.21577971853896
Palabra:adverts Frec:3 LogProb:-11.007539187767014
Palabra:advice Frec:135 LogProb:-7.481178663150852
Palabra:advisable Frec:2 LogProb:-11.295221260218796
Palabra:advise Frec:11 LogProb:-9.908926899098905
Palabra:advised Frec:16 LogProb:-9.560620204830688
Palabra:adviser Frec:2 LogProb:-11.295221260218796
Palabra:advisers Frec:4 LogProb:-10.784395636452805
Palabra:advises Frec:3 LogProb:-11.007539187767014
Palabra:advising Frec:3 LogProb:-11.007539187767014
Palabra:advisories Frec:4 LogProb:-10.784395636452805
Palabra:advisory Frec:9 LogProb:-10.09124845589286
Palabra:advocacy Frec:6 LogProb:-10.447923399831591
Palabra:advocate Frec:6 LogProb:-10.447923399831591
Palabra:advocates Frec:13 LogProb:-9.754776219271646
Palabra:advocating Frec:4 LogProb:-10.784395636452805
Palabra:aerosol Frec:6 LogProb:-10.447923399831591
Palabra:afar Frec:3 LogProb:-11.007539187767014
Palabra:affairs Frec:44 LogProb:-8.587171059116585
Palabra:affect Frec:40 LogProb:-8.680261482182598
Palabra:affected Frec:109 LogProb:-7.693353183094488
Palabra:affecting Frec:38 LogProb:-8.73027190275726
Palabra:affects Frec:13 LogProb:-9.754776219271646
Palabra:affiliate Frec:5 LogProb:-10.60207407965885
Palabra:affiliated Frec:2 LogProb:-11.295221260218796
Palabra:affluent Frec:2 LogProb:-11.295221260218796
Palabra:afford Frec:75 LogProb:-8.063100208600574
Palabra:affordable Frec:56 LogProb:-8.350782281052354
Palabra:afloat Frec:7 LogProb:-10.314392007207069
Palabra:afraid Frec:26 LogProb:-9.097996682882576
Palabra:afterlife Frec:2 LogProb:-11.295221260218796
Palabra:aftermath Frec:5 LogProb:-10.60207407965885
Palabra:afternoon Frec:18 LogProb:-9.449394569720464
Palabra:age Frec:59 LogProb:-8.299488986664805
Palabra:aged Frec:11 LogProb:-9.908926899098905
Palabra:agencies Frec:32 LogProb:-8.897325987420425
Palabra:agency Frec:21 LogProb:-9.302791095528589
Palabra:agenda Frec:2 LogProb:-11.295221260218796
Palabra:agent Frec:6 LogProb:-10.447923399831591
Palabra:agents Frec:10 LogProb:-9.995938276088534
