Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:<UNK> Frec:4930 LogProb:-3.76896584053652
Palabra:abandon Frec:4 LogProb:-10.662825014326547
Palabra:abandoned Frec:7 LogProb:-10.19282138508081
Palabra:abandoning Frec:2 LogProb:-11.173650638092537
Palabra:abating Frec:2 LogProb:-11.173650638092537
Palabra:abide Frec:2 LogProb:-11.173650638092537
Palabra:abiding Frec:2 LogProb:-11.173650638092537
Palabra:ability Frec:12 LogProb:-9.70731356929911
Palabra:abortion Frec:3 LogProb:-10.885968565640756
Palabra:abound Frec:3 LogProb:-10.885968565640756
Palabra:abroad Frec:6 LogProb:-10.326352777705333
Palabra:abrupt Frec:3 LogProb:-10.885968565640756
Palabra:absence Frec:5 LogProb:-10.480503457532592
Palabra:absent Frec:5 LogProb:-10.480503457532592
Palabra:absolute Frec:33 LogProb:-8.745902402144484
Palabra:absolutely Frec:77 LogProb:-7.915554100071055
Palabra:absorbed Frec:3 LogProb:-10.885968565640756
Palabra:absurd Frec:11 LogProb:-9.787356276972647
Palabra:abundance Frec:2 LogProb:-11.173650638092537
Palabra:abuse Frec:33 LogProb:-8.745902402144484
Palabra:abused Frec:12 LogProb:-9.70731356929911
Palabra:abuses Frec:4 LogProb:-10.662825014326547
Palabra:abusing Frec:11 LogProb:-9.787356276972647
Palabra:abusive Frec:6 LogProb:-10.326352777705333
Palabra:accelerate Frec:10 LogProb:-9.874367653962276
Palabra:accelerated Frec:11 LogProb:-9.787356276972647
Palabra:accelerating Frec:5 LogProb:-10.480503457532592
Palabra:accelerators Frec:2 LogProb:-11.173650638092537
Palabra:accept Frec:12 LogProb:-9.70731356929911
Palabra:acceptable Frec:3 LogProb:-10.885968565640756
Palabra:accepted Frec:5 LogProb:-10.480503457532592
Palabra:accepting Frec:5 LogProb:-10.480503457532592
Palabra:access Frec:121 LogProb:-7.46824188202739
Palabra:accessibility Frec:3 LogProb:-10.885968565640756
Palabra:accessible Frec:5 LogProb:-10.480503457532592
Palabra:accessing Frec:2 LogProb:-11.173650638092537
Palabra:accident Frec:5 LogProb:-10.480503457532592
Palabra:accidental Frec:7 LogProb:-10.19282138508081
Palabra:accidentally Frec:4 LogProb:-10.662825014326547
Palabra:accommodate Frec:2 LogProb:-11.173650638092537
Palabra:accommodation Frec:6 LogProb:-10.326352777705333
Palabra:accommodations Frec:2 LogProb:-11.173650638092537
Palabra:accompanied Frec:2 LogProb:-11.173650638092537
Palabra:accompanying Frec:2 LogProb:-11.173650638092537
Palabra:account Frec:35 LogProb:-8.688743988304537
Palabra:accountability Frec:3 LogProb:-10.885968565640756
Palabra:accountable Frec:4 LogProb:-10.662825014326547
Palabra:accounts Frec:19 LogProb:-9.276530653206656
Palabra:accumulated Frec:2 LogProb:-11.173650638092537
Palabra:accurate Frec:8 LogProb:-10.075038349424426
Palabra:accusations Frec:5 LogProb:-10.480503457532592
Palabra:accused Frec:28 LogProb:-8.904967096774172
Palabra:accusing Frec:2 LogProb:-11.173650638092537
Palabra:accustomed Frec:2 LogProb:-11.173650638092537
Palabra:achieve Frec:8 LogProb:-10.075038349424426
Palabra:achieved Frec:2 LogProb:-11.173650638092537
Palabra:aching Frec:2 LogProb:-11.173650638092537
Palabra:acid Frec:3 LogProb:-10.885968565640756
Palabra:acknowledge Frec:6 LogProb:-10.326352777705333
Palabra:acknowledged Frec:2 LogProb:-11.173650638092537
Palabra:acme Frec:3 LogProb:-10.885968565640756
Palabra:acquire Frec:3 LogProb:-10.885968565640756
Palabra:acquiring Frec:2 LogProb:-11.173650638092537
Palabra:acres Frec:2 LogProb:-11.173650638092537
Palabra:acrylic Frec:2 LogProb:-11.173650638092537
Palabra:act Frec:81 LogProb:-7.865543679496393
Palabra:acted Frec:10 LogProb:-9.874367653962276
Palabra:acting Frec:26 LogProb:-8.976426060756317
Palabra:action Frec:79 LogProb:-7.890236292086765
Palabra:actions Frec:33 LogProb:-8.745902402144484
Palabra:activate Frec:2 LogProb:-11.173650638092537
Palabra:active Frec:3 LogProb:-10.885968565640756
Palabra:actively Frec:9 LogProb:-9.9696778337666
Palabra:activist Frec:6 LogProb:-10.326352777705333
Palabra:activities Frec:22 LogProb:-9.136768710831497
Palabra:activity Frec:42 LogProb:-8.511062811067085
Palabra:actor Frec:3 LogProb:-10.885968565640756
Palabra:actors Frec:9 LogProb:-9.9696778337666
Palabra:acts Frec:7 LogProb:-10.19282138508081
Palabra:actual Frec:34 LogProb:-8.716914865271233
Palabra:acute Frec:7 LogProb:-10.19282138508081
Palabra:adapt Frec:17 LogProb:-9.381891168864481
Palabra:adapting Frec:8 LogProb:-10.075038349424426
Palabra:add Frec:40 LogProb:-8.558690860056338
Palabra:added Frec:25 LogProb:-9.014166388739165
Palabra:addicted Frec:2 LogProb:-11.173650638092537
Palabra:addiction Frec:7 LogProb:-10.19282138508081
Palabra:adding Frec:23 LogProb:-9.094209096412701
Palabra:addition Frec:13 LogProb:-9.633205597145388
Palabra:additional Frec:36 LogProb:-8.661345014116423
Palabra:additive Frec:3 LogProb:-10.885968565640756
Palabra:address Frec:35 LogProb:-8.688743988304537
Palabra:addressed Frec:5 LogProb:-10.480503457532592
Palabra:addresses Frec:4 LogProb:-10.662825014326547
Palabra:addressing Frec:5 LogProb:-10.480503457532592
Palabra:adds Frec:8 LogProb:-10.075038349424426
Palabra:adequate Frec:5 LogProb:-10.480503457532592
Palabra:adequately Frec:3 LogProb:-10.885968565640756
Palabra:adhere Frec:6 LogProb:-10.326352777705333
Palabra:adhering Frec:3 LogProb:-10.885968565640756
Palabra:adjacent Frec:3 LogProb:-10.885968565640756
Palabra:adjourned Frec:2 LogProb:-11.173650638092537
Palabra:adjust Frec:10 LogProb:-9.874367653962276
Palabra:adjusted Frec:5 LogProb:-10.480503457532592
Palabra:adjusting Frec:5 LogProb:-10.480503457532592
Palabra:adjustment Frec:2 LogProb:-11.173650638092537
Palabra:admin Frec:3 LogProb:-10.885968565640756
Palabra:administration Frec:29 LogProb:-8.87106554509849
Palabra:administrative Frec:3 LogProb:-10.885968565640756
Palabra:administrators Frec:2 LogProb:-11.173650638092537
Palabra:admit Frec:7 LogProb:-10.19282138508081
Palabra:admits Frec:2 LogProb:-11.173650638092537
Palabra:adopt Frec:3 LogProb:-10.885968565640756
Palabra:adopted Frec:2 LogProb:-11.173650638092537
Palabra:adopting Frec:2 LogProb:-11.173650638092537
Palabra:adoption Frec:5 LogProb:-10.480503457532592
Palabra:ads Frec:35 LogProb:-8.688743988304537
Palabra:adult Frec:10 LogProb:-9.874367653962276
Palabra:adulteration Frec:2 LogProb:-11.173650638092537
Palabra:adults Frec:21 LogProb:-9.18122047340233
Palabra:advance Frec:10 LogProb:-9.874367653962276
Palabra:advancement Frec:2 LogProb:-11.173650638092537
Palabra:advantage Frec:125 LogProb:-7.4359810198091685
Palabra:advent Frec:2 LogProb:-11.173650638092537
Palabra:adventure Frec:2 LogProb:-11.173650638092537
Palabra:adverse Frec:4 LogProb:-10.662825014326547
Palabra:adversely Frec:5 LogProb:-10.480503457532592
Palabra:adversity Frec:2 LogProb:-11.173650638092537
Palabra:advert Frec:2 LogProb:-11.173650638092537
Palabra:advertise Frec:5 LogProb:-10.480503457532592
Palabra:advertised Frec:2 LogProb:-11.173650638092537
Palabra:advertising Frec:24 LogProb:-9.053387101892445
Palabra:advice Frec:88 LogProb:-7.783626557028507
Palabra:advisable Frec:2 LogProb:-11.173650638092537
Palabra:advise Frec:13 LogProb:-9.633205597145388
Palabra:advised Frec:11 LogProb:-9.787356276972647
Palabra:advises Frec:5 LogProb:-10.480503457532592
Palabra:advising Frec:12 LogProb:-9.70731356929911
Palabra:advisories Frec:2 LogProb:-11.173650638092537
Palabra:advisory Frec:4 LogProb:-10.662825014326547
Palabra:advocacy Frec:2 LogProb:-11.173650638092537
Palabra:advocates Frec:13 LogProb:-9.633205597145388
Palabra:aerosol Frec:4 LogProb:-10.662825014326547
Palabra:afar Frec:2 LogProb:-11.173650638092537
Palabra:affairs Frec:36 LogProb:-8.661345014116423
Palabra:affect Frec:46 LogProb:-8.422115325050587
Palabra:affected Frec:143 LogProb:-7.302449627184646
Palabra:affecting Frec:33 LogProb:-8.745902402144484
Palabra:affects Frec:10 LogProb:-9.874367653962276
Palabra:affirmed Frec:2 LogProb:-11.173650638092537
